patternSignature,patternReadable,currentEligible,manual31ColumnCount,manual65PatternCount,lpColumnCount,positiveLpActivity,coveredResidualOrders,coveredResidualQuantity,coverageScarcity,missingResidualWidths,wastePerCar,targetResidualWastePerCar,wasteFit,demandDualUpperBound,lpPoolDensityRank,orderCoverageFrontierRank,lpDualWeightedRank
"4300|1050x1,1080x2,1090x1","{1050=1, 1080=2, 1090=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","4","75","0.018790378","1","300","228.466257669","0.013786687","4.248583126",,"10171","289"
"4350|790x1,1100x1,1220x1,1240x1","{790=1, 1100=1, 1220=1, 1240=1} @4350mm (pw=4350, util=100.0%)","true","0","0","0","0.000000000","19","276","0.073098555","0","250","228.466257669","0.044377893","2.457801041",,"289","19004"
"4310|550x2,850x1,1100x1,1260x1","{550=2, 850=1, 1100=1, 1260=1} @4310mm (pw=4310, util=100.0%)","true","0","0","0","0.000000000","20","330","0.073067955","0","290","228.466257669","0.015991367","1.806911685",,"290","37868"
"4380|600x1,1080x1,1220x1,1480x1","{600=1, 1080=1, 1220=1, 1480=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","2","5","0.001869073","2","220","228.466257669","0.105638367","4.245771050",,"47086","290"
"4340|860x1,1080x1,1140x1,1260x1","{860=1, 1080=1, 1140=1, 1260=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","6","26","0.007835854","1","260","228.466257669","0.030737318","4.245482218",,"23766","291"
"4360|550x1,600x1,850x1,1100x1,1260x1","{550=1, 600=1, 850=1, 1100=1, 1260=1} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","20","330","0.073067955","1","240","228.466257669","0.079784630","1.968798741",,"291","33124"
"4320|840x1,1100x1,1140x1,1240x1","{840=1, 1100=1, 1140=1, 1240=1} @4320mm (pw=4320, util=100.0%)","true","0","0","0","0.000000000","23","273","0.073057305","0","280","228.466257669","0.019035385","2.977599200",,"292","8067"
"4330|890x1,1080x1,1140x1,1220x1","{890=1, 1080=1, 1140=1, 1220=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","3","10","0.002981503","2","270","228.466257669","0.023510746","4.245388259",,"39658","292"
"4380|840x1,1080x1,1220x1,1240x1","{840=1, 1080=1, 1220=1, 1240=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","10","59","0.018074891","1","220","228.466257669","0.105638367","4.243911988",,"11369","293"
"4380|890x1,1100x1,1150x1,1240x1","{890=1, 1100=1, 1150=1, 1240=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","19","268","0.073054093","1","220","228.466257669","0.105638367","2.041176523",,"293","30962"
"4340|1015x1,1020x1,1080x1,1220x1","{1015=1, 1020=1, 1080=1, 1220=1} @4340mm (pw=4335, util=99.9%)","false","0","0","0","0.000000000","1","4","0.001305057","3","265","228.466257669","0.026642694","4.242098416",,"50244","294"
"4360|870x1,1100x1,1150x1,1240x1","{870=1, 1100=1, 1150=1, 1240=1} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","19","268","0.073054093","1","240","228.466257669","0.079784630","2.169412882",,"294","27235"
"4330|950x1,1015x1,1080x1,1280x1","{950=1, 1015=1, 1080=1, 1280=1} @4330mm (pw=4325, util=99.9%)","false","0","0","0","0.000000000","1","6","0.002202643","3","275","228.466257669","0.021037687","4.240548790",,"44925","295"
"4390|900x1,1100x1,1150x1,1240x1","{900=1, 1100=1, 1150=1, 1240=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","19","268","0.073054093","1","210","228.466257669","0.051370942","1.505931568",,"295","45372"
"4350|860x1,1050x1,1220x2","{860=1, 1050=1, 1220=2} @4350mm (pw=4350, util=100.0%)","true","0","0","0","0.000000000","3","12","0.002783937","0","250","228.466257669","0.044377893","4.239467922",,"41539","296"
"4400|910x1,1100x1,1150x1,1240x1","{910=1, 1100=1, 1150=1, 1240=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","19","268","0.073054093","1","200","228.466257669","0.033937123","1.505931568",,"296","45373"
"4370|860x1,1090x1,1100x1,1320x1","{860=1, 1090=1, 1100=1, 1320=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","16","287","0.073040780","1","230","228.466257669","0.394673123","2.948927241",,"297","8509"
"4370|950x1,1050x2,1320x1","{950=1, 1050=2, 1320=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","1","4","0.000919752","2","230","228.466257669","0.394673123","4.239110488",,"51991","297"
"4390|600x1,740x1,860x1,1090x1,1100x1","{600=1, 740=1, 860=1, 1090=1, 1100=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","16","287","0.073040780","2","210","228.466257669","0.051370942","1.841690929",,"298","36886"
"4400|1080x2,1100x1,1140x1","{1080=2, 1100=1, 1140=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","14","218","0.056287471","1","200","228.466257669","0.033937123","4.236716785",,"2844","298"
"4320|790x1,1100x1,1190x1,1240x1","{790=1, 1100=1, 1190=1, 1240=1} @4320mm (pw=4320, util=100.0%)","true","0","0","0","0.000000000","19","276","0.073025025","0","280","228.466257669","0.019035385","1.590549506",,"299","43475"
"4380|550x1,840x1,960x1,1015x2","{550=1, 840=1, 960=1, 1015=2} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","5","22","0.001956364","2","220","228.466257669","0.105638367","4.235055426",,"46585","299"
"4390|600x1,840x1,850x1,1015x1,1080x1","{600=1, 840=1, 850=1, 1015=1, 1080=1} @4390mm (pw=4385, util=99.9%)","false","0","0","0","0.000000000","8","98","0.013274643","3","215","228.466257669","0.069126378","4.234897644",,"19406","300"
"4400|760x1,1100x1,1240x1,1300x1","{760=1, 1100=1, 1240=1, 1300=1} @4400mm (pw=4400, util=100.0%)","true","0","0","0","0.000000000","20","274","0.072975253","0","200","228.466257669","0.033937123","2.035849217",,"300","31126"
"4320|950x1,970x1,1080x1,1320x1","{950=1, 970=1, 1080=1, 1320=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","3","12","0.002260313","3","280","228.466257669","0.019035385","4.233934125",,"44415","301"
"4350|980x1,1100x1,1125x1,1140x1","{980=1, 1100=1, 1125=1, 1140=1} @4350mm (pw=4345, util=99.9%)","true","0","0","0","0.000000000","22","301","0.072941439","0","255","228.466257669","0.036319073","2.169745551",,"301","27216"
"4340|1015x1,1050x1,1080x1,1190x1","{1015=1, 1050=1, 1080=1, 1190=1} @4340mm (pw=4335, util=99.9%)","false","0","0","0","0.000000000","2","8","0.002151279","2","265","228.466257669","0.026642694","4.230429418",,"45398","302"
"4400|980x1,1050x1,1100x1,1270x1","{980=1, 1050=1, 1100=1, 1270=1} @4400mm (pw=4400, util=100.0%)","true","0","0","0","0.000000000","21","300","0.072937135","0","200","228.466257669","0.033937123","2.288693514",,"302","23695"
"4350|550x1,790x1,850x1,1060x1,1100x1","{550=1, 790=1, 850=1, 1060=1, 1100=1} @4350mm (pw=4350, util=100.0%)","true","0","0","0","0.000000000","19","344","0.072832198","0","250","228.466257669","0.044377893","1.437895341",,"303","46783"
"4390|740x1,760x1,860x1,1015x2","{740=1, 760=1, 860=1, 1015=2} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","3","16","0.001815146","2","210","228.466257669","0.051370942","4.230048483",,"47249","303"
"4310|840x1,1100x1,1130x1,1240x1","{840=1, 1100=1, 1130=1, 1240=1} @4310mm (pw=4310, util=100.0%)","true","0","0","0","0.000000000","23","272","0.072755997","0","290","228.466257669","0.015991367","2.309004862",,"304","23086"
"4350|960x1,1015x1,1050x1,1320x1","{960=1, 1015=1, 1050=1, 1320=1} @4350mm (pw=4345, util=99.9%)","false","0","0","0","0.000000000","1","4","0.000919752","3","255","228.466257669","0.036319073","4.229847484",,"52086","304"
"4320|760x1,1100x1,1220x1,1240x1","{760=1, 1100=1, 1220=1, 1240=1} @4320mm (pw=4320, util=100.0%)","true","0","0","0","0.000000000","20","274","0.072754757","0","280","228.466257669","0.019035385","2.831080565",,"305","10507"
"4340|950x1,1050x1,1080x1,1260x1","{950=1, 1050=1, 1080=1, 1260=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","4","20","0.006520032","2","260","228.466257669","0.030737318","4.229752199",,"26270","305"
"4370|1050x3,1220x1","{1050=3, 1220=1} @4370mm (pw=4370, util=100.0%)","true","0","0","0","0.000000000","2","8","0.002224809","0","230","228.466257669","0.394673123","4.229686227",,"44730","306"
"4390|780x1,1100x1,1240x1,1270x1","{780=1, 1100=1, 1240=1, 1270=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","18","265","0.072703541","1","210","228.466257669","0.051370942","1.919507224",,"306","34572"
"4350|740x1,1100x1,1240x1,1270x1","{740=1, 1100=1, 1240=1, 1270=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","18","265","0.072703541","1","250","228.466257669","0.044377893","1.495631858",,"307","45634"
"4370|1015x2,1140x1,1200x1","{1015=2, 1140=1, 1200=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","3","8","0.002303209","1","230","228.466257669","0.394673123","4.228465358",,"44041","307"
"4350|600x1,760x1,890x1,1015x1,1080x1","{600=1, 760=1, 890=1, 1015=1, 1080=1} @4350mm (pw=4345, util=99.9%)","false","0","0","0","0.000000000","2","12","0.001256018","4","255","228.466257669","0.036319073","4.227187565",,"50948","308"
"4400|840x1,1100x1,1220x1,1240x1","{840=1, 1100=1, 1220=1, 1240=1} @4400mm (pw=4400, util=100.0%)","true","0","0","0","0.000000000","22","271","0.072685917","0","200","228.466257669","0.033937123","3.160574402",,"308","5555"
