"inclusionReason","patternSignature","patternReadable","eligible","ineligibleReason","manual31ColumnCount","manual65PatternCount","lpActivity","residualScarcity","coveredResidualOrders","wasteFit","structuralScore","baselineScore","baselineRank","baselineTop60","baselineTop120","lambda0Score","lambda0Rank","lambda0Top60","lambda0Top120","lambda10Score","lambda10Rank","lambda10Top60","lambda10Top120","baselineToLambda0RankDelta","baselineToLambda10RankDelta"
"TARGET_ORACLE|BASELINE_TOP120","4390|1000x1,1100x2,1190x1","{1000=1, 1100=2, 1190=1} @4390mm (pw=4390, util=100.0%)","true","","1","1","0.596879280","0.389825209","21","0.051370942","599.876579942","597479.156579942","20","true","true","599.876579942","310","false","false","605.845372742","303","false","false","290","283"
"BASELINE_TOP120","4400|1100x4","{1100=4} @4400mm (pw=4400, util=100.0%)","true","","0","3","0.068631410","0.342487884","12","0.033937123","462.521821123","69093.931821123","45","true","true","462.521821123","644","false","false","463.208135223","643","false","false","599","598"
"BASELINE_TOP120","4380|1090x2,1100x2","{1090=2, 1100=2} @4380mm (pw=4380, util=100.0%)","true","","0","0","0.055112180","0.456819607","15","0.105638367","606.925245367","55719.105245367","46","true","true","606.925245367","298","false","false","607.476367167","301","false","false","252","255"
"BASELINE_TOP120","4350|550x1,860x1,980x3","{550=1, 860=1, 980=3} @4350mm (pw=4350, util=100.0%)","true","","0","2","0.052368890","0.116132833","9","0.044377893","206.177210893","52575.067210893","47","true","true","206.177210893","2502","false","false","206.700899793","2497","false","false","2455","2450"
"BASELINE_TOP120","4320|760x4,1280x1","{760=4, 1280=1} @4320mm (pw=4320, util=100.0%)","true","","0","0","0.047635528","0.025505539","3","0.019035385","55.524574385","47691.052574385","48","true","true","55.524574385","4624","false","false","56.000929665","4620","false","false","4576","4572"
"BASELINE_TOP120","4340|980x2,1190x2","{980=2, 1190=2} @4340mm (pw=4340, util=100.0%)","true","","0","0","0.045312632","0.110906771","8","0.030737318","190.937508318","45503.569508318","49","true","true","190.937508318","2746","false","false","191.390634638","2741","false","false","2697","2692"
"BASELINE_TOP120","4400|550x3,760x1,840x1,1150x1","{550=3, 760=1, 840=1, 1150=1} @4400mm (pw=4400, util=100.0%)","true","","0","0","0.035792551","0.047383372","9","0.033937123","137.417309123","35929.968309123","50","true","true","137.417309123","3232","false","false","137.775234633","3229","false","false","3182","3179"
"BASELINE_TOP120","4340|860x1,1000x1,1240x2","{860=1, 1000=1, 1240=2} @4340mm (pw=4340, util=100.0%)","true","","0","0","0.034479610","0.141451469","14","0.030737318","281.482206318","34761.092206318","51","true","true","281.482206318","1312","false","false","281.827002418","1310","false","false","1261","1259"
"BASELINE_TOP120","4350|840x3,850x1,980x1","{840=3, 850=1, 980=1} @4350mm (pw=4350, util=100.0%)","true","","0","0","0.022370344","0.211694182","15","0.044377893","361.738559893","22732.082559893","52","true","true","361.738559893","820","false","false","361.962263333","820","false","false","768","768"
"BASELINE_TOP120","4340|1000x1,1100x2,1140x1","{1000=1, 1100=2, 1140=1} @4340mm (pw=4340, util=100.0%)","true","","0","0","0.020720424","0.392236328","22","0.030737318","612.267065318","21332.691065318","53","true","true","612.267065318","290","false","false","612.474269558","291","false","false","237","238"
"BASELINE_TOP120","4350|1060x1,1090x1,1100x2","{1060=1, 1090=1, 1100=2} @4350mm (pw=4350, util=100.0%)","true","","0","0","0.020014433","0.481209851","16","0.044377893","641.254228893","20655.687228893","54","true","true","641.254228893","234","false","false","641.454373223","233","false","false","180","179"
"BASELINE_TOP120","4400|550x3,760x1,860x1,1125x1","{550=3, 760=1, 860=1, 1125=1} @4400mm (pw=4395, util=99.9%)","true","","0","0","0.007394589","0.035679675","5","0.040872618","85.720547618","7480.309547618","55","true","true","85.720547618","4214","false","false","85.794493508","4212","false","false","4159","4157"
"BASELINE_TOP120|LAMBDA0_TOP120|LAMBDA10_TOP120","4320|980x1,1000x1,1100x1,1240x1","{980=1, 1000=1, 1100=1, 1240=1} @4320mm (pw=4320, util=100.0%)","true","","0","0","0.000000000","0.582534030","32","0.019035385","902.553065385","902.553065385","56","true","true","902.553065385","1","true","true","902.553065385","1","true","true","-55","-55"
"BASELINE_TOP120|LAMBDA0_TOP120|LAMBDA10_TOP120","4320|550x1,840x1,850x1,980x1,1100x1","{550=1, 840=1, 850=1, 980=1, 1100=1} @4320mm (pw=4320, util=100.0%)","true","","0","0","0.000000000","0.562751611","28","0.019035385","842.770646385","842.770646385","57","true","true","842.770646385","2","true","true","842.770646385","2","true","true","-55","-55"
