patternSignature,patternReadable,eligible,ineligibleReason,rank,selectedTop60,lpActivity,residualScarcity,coveredResidualOrders,wastePerCar,targetResidualWastePerCar,wasteFit,totalScore,widths,stationCount,distinctWidthCount,manual31ColumnCount,manual65PatternCount,manualCarsDistribution,manualOddCount,manualOneCarCount,manualOrderCoverageSummary
"4400|550x3,760x1,860x1,1125x1","{550=3, 760=1, 860=1, 1125=1} @4400mm (pw=4395, util=99.9%)","true","","55","true","0.007394589","0.035679675","5","205","228.466257669","0.040872618","7480.309728902","550|760|860|1125","6","4","0","0","","0","0",""
"4320|980x1,1000x1,1100x1,1240x1","{980=1, 1000=1, 1100=1, 1240=1} @4320mm (pw=4320, util=100.0%)","true","","56","true","0.000000000","0.582534030","32","280","228.466257669","0.019035385","902.553065569","980|1000|1100|1240","4","4","0","0","","0","0",""
"4320|550x1,840x1,850x1,980x1,1100x1","{550=1, 840=1, 850=1, 980=1, 1100=1} @4320mm (pw=4320, util=100.0%)","true","","57","true","0.000000000","0.562751611","28","280","228.466257669","0.019035385","842.770646689","550|840|850|980|1100","5","5","0","0","","0","0",""
"4340|980x1,1000x1,1100x1,1260x1","{980=1, 1000=1, 1100=1, 1260=1} @4340mm (pw=4340, util=100.0%)","true","","58","true","0.000000000","0.520010901","30","260","228.466257669","0.030737318","820.041638200","980|1000|1100|1260","4","4","0","0","","0","0",""
"4380|980x1,1060x1,1100x1,1240x1","{980=1, 1060=1, 1100=1, 1240=1} @4380mm (pw=4380, util=100.0%)","true","","59","true","0.000000000","0.567414737","25","220","228.466257669","0.105638367","817.520375668","980|1060|1100|1240","4","4","0","0","","0","0",""
"4320|980x1,1090x1,1100x1,1150x1","{980=1, 1090=1, 1100=1, 1150=1} @4320mm (pw=4320, util=100.0%)","true","","60","true","0.000000000","0.577259700","24","280","228.466257669","0.019035385","817.278735804","980|1090|1100|1150","4","4","0","0","","0","0",""
"4300|850x1,1090x1,1100x1,1260x1","{850=1, 1090=1, 1100=1, 1260=1} @4300mm (pw=4300, util=100.0%)","true","","61","false","0.000000000","0.590533239","22","300","228.466257669","0.013786687","810.547025510","850|1090|1100|1260","4","4","0","0","","0","0",""
"4310|980x1,1090x1,1100x1,1140x1","{980=1, 1090=1, 1100=1, 1140=1} @4310mm (pw=4310, util=100.0%)","true","","62","false","0.000000000","0.570137497","24","290","228.466257669","0.015991367","810.153488524","980|1090|1100|1140","4","4","0","0","","0","0",""
"4300|980x1,1090x1,1100x1,1130x1","{980=1, 1090=1, 1100=1, 1130=1} @4300mm (pw=4300, util=100.0%)","true","","63","false","0.000000000","0.568489655","24","300","228.466257669","0.013786687","808.503441287","980|1090|1100|1130","4","4","0","0","","0","0",""
"4340|550x1,850x1,860x1,980x1,1100x1","{550=1, 850=1, 860=1, 980=1, 1100=1} @4340mm (pw=4340, util=100.0%)","true","","64","false","0.000000000","0.557399851","25","260","228.466257669","0.030737318","807.430587982","550|850|860|980|1100","5","5","0","0","","0","0",""
"4390|550x1,760x1,980x1,1000x1,1100x1","{550=1, 760=1, 980=1, 1000=1, 1100=1} @4390mm (pw=4390, util=100.0%)","true","","65","false","0.000000000","0.505262599","30","210","228.466257669","0.051370942","805.313969695","550|760|980|1000|1100","5","5","0","0","","0","0",""
"4400|970x1,1090x1,1100x1,1240x1","{970=1, 1090=1, 1100=1, 1240=1} @4400mm (pw=4400, util=100.0%)","true","","66","false","0.000000000","0.570192353","23","200","228.466257669","0.033937123","800.226290315","970|1090|1100|1240","4","4","0","0","","0","0",""
"4370|980x1,1050x1,1100x1,1240x1","{980=1, 1050=1, 1100=1, 1240=1} @4370mm (pw=4370, util=100.0%)","true","","67","false","0.000000000","0.549039531","25","230","228.466257669","0.394673123","799.434204117","980|1050|1100|1240","4","4","0","0","","0","0",""
"4390|980x1,1090x1,1100x1,1220x1","{980=1, 1090=1, 1100=1, 1220=1} @4390mm (pw=4390, util=100.0%)","true","","68","false","0.000000000","0.568012180","23","210","228.466257669","0.051370942","798.063550514","980|1090|1100|1220","4","4","0","0","","0","0",""
"4360|980x1,1090x1,1100x1,1190x1","{980=1, 1090=1, 1100=1, 1190=1} @4360mm (pw=4360, util=100.0%)","true","","69","false","0.000000000","0.567726378","23","240","228.466257669","0.079784630","797.806162588","980|1090|1100|1190","4","4","0","0","","0","0",""
"4350|550x1,760x1,850x1,1090x1,1100x1","{550=1, 760=1, 850=1, 1090=1, 1100=1} @4350mm (pw=4350, util=100.0%)","true","","70","false","0.000000000","0.575784937","22","250","228.466257669","0.044377893","795.829314586","550|760|850|1090|1100","5","5","0","0","","0","0",""
"4370|980x1,1090x1,1100x1,1200x1","{980=1, 1090=1, 1100=1, 1200=1} @4370mm (pw=4370, util=100.0%)","true","","71","false","0.000000000","0.563820158","23","230","228.466257669","0.394673123","794.214831059","980|1090|1100|1200","4","4","0","0","","0","0",""
"4330|550x1,850x2,980x1,1100x1","{550=1, 850=2, 980=1, 1100=1} @4330mm (pw=4330, util=100.0%)","true","","72","false","0.000000000","0.552915546","24","270","228.466257669","0.023510746","792.939056476","550|850|980|1100","5","4","0","0","","0","0",""
"4340|550x1,840x1,850x1,1000x1,1100x1","{550=1, 840=1, 850=1, 1000=1, 1100=1} @4340mm (pw=4340, util=100.0%)","true","","73","false","0.000000000","0.499182165","29","260","228.466257669","0.030737318","789.212902811","550|840|850|1000|1100","5","5","0","0","","0","0",""
"4380|550x1,790x1,850x1,1090x1,1100x1","{550=1, 790=1, 850=1, 1090=1, 1100=1} @4380mm (pw=4380, util=100.0%)","true","","74","false","0.000000000","0.578424905","21","220","228.466257669","0.105638367","788.530543672","550|790|850|1090|1100","5","5","0","0","","0","0",""
"4340|850x1,1100x1,1150x1,1240x1","{850=1, 1100=1, 1150=1, 1240=1} @4340mm (pw=4340, util=100.0%)","true","","75","false","0.000000000","0.556085756","23","260","228.466257669","0.030737318","786.116493527","850|1100|1150|1240","4","4","0","0","","0","0",""
"4300|980x2,1100x1,1240x1","{980=2, 1100=1, 1240=1} @4300mm (pw=4300, util=100.0%)","true","","76","false","0.000000000","0.543024493","24","300","228.466257669","0.013786687","783.038280086","980|1100|1240","4","3","0","0","","0","0",""
"4350|980x1,1000x1,1100x1,1270x1","{980=1, 1000=1, 1100=1, 1270=1} @4350mm (pw=4350, util=100.0%)","true","","77","false","0.000000000","0.500528942","28","250","228.466257669","0.044377893","780.573319589","980|1000|1100|1270","4","4","0","0","","0","0",""
